distribution,pga_g,comparable_scale
local_P695_scaled_analysis_all_sets,0.44727237500000006,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.38542,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.366966,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.42502890000000004,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.7250904,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.0628666,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.363978,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.3166164,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.5197287500000001,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.3121592,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.314321025,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.375365,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,1.18446195,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.446304975,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.11682027,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.209880405,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.029980000000000003,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.33196787499999997,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.1029124,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.20757093,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.39016,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.14137332,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.7326056,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.52262,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.14574664999999998,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.6278226,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.7541235,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.1284381,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.7680285,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.89260995,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.5269935,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.987051625,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.5579075,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.104524,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.366966,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.2196715,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,1.5863787500000002,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.1252566,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.516457,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.15792826000000001,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,1.7892825,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.5049901250000001,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.49529487499999997,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.27298350000000005,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.07098900000000001,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.5266785,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.08370968000000001,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.30443202999999996,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.3578179,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.52976265,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.20954735,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.0765926,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.449743725,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.0878686,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.4623938,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.354945,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.10254912000000001,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.39016,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.5439786,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.5456857500000001,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,1.2806085,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.15740700000000002,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.25032915,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.5009991,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.06662638,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.08471796000000001,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.4571379249999996,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.14574664999999998,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.151583,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.6479742500000001,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.2208569,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.2842858,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.7326056,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.3578179,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.64002375,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.8895897,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.10329140000000002,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.07253048,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.13896665,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.8780907,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.3217475,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.05147960000000001,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.3626524,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.092953,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,1.7892825,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.1668861,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,1.2336435,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.55214225,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.351119,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.33128535,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.07098900000000001,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.220787245,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.07253048,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.9444075,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.449743725,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.2102315,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.102544295,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.12351045,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.25185195,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.5494542,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.354945,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.614812,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.1887125,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.52557875,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.0840926,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.053116,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.16870069999999998,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.7264470000000001,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.2612685,scaled analysis input PGA
